Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_inventorie
   Austria,19980,19980,22020,19980,16980,16440,14760,13860,12600,11280,9720,8520,8100,7860,7800,7740,7560,7680,7740,8280,8460,6660,5820,5520,5760,5760,5400,4800,4800,4800,306660
   Cyprus,600,720,600,480,780,780,720,360,540,540,600,720,780,780,360,420,480,480,480,300,300,360,240,420,720,360,120,180,300,0,14520
   Denmark,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,160200
   Finland,10560,13380,12780,11280,16920,13200,8400,10860,9720,10620,6060,5400,4620,5640,4980,4980,4980,4980,4980,4980,4980,4980,4980,4980,4980,4980,4980,4980,4980,4980,219120
   France,34380,33720,32220,23340,28860,18060,15960,19020,21000,18360,21060,35040,43140,39000,37260,31200,28560,22080,30240,28980,25620,24840,26760,26280,29940,30420,34320,28500,27840,27120,843120
   Germany,240000,96000,150000,120000,234000,138000,96000,114000,96000,132000,150000,171000,214800,197400,191400,173100,186060,200460,192660,174660,160800,147720,171540,158160,187200,211140,239460,216060,211080,208740,5179440
   Ireland,0,0,0,0,0,0,0,0,0,0,0,0,360,420,600,480,360,660,480,420,240,360,420,360,360,240,240,180,180,180,6540
   Italy,12900,11340,11220,13680,13320,13020,13380,13620,14040,14100,14700,15180,15180,15900,16140,16680,17640,18840,19020,19020,19560,19740,20760,21120,22260,22200,24180,23760,25260,25680,523440
   Netherlands,105120,105120,62880,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,42420,1418460
   Portugal,4080,8580,7260,13200,9540,5160,6900,7860,6060,4920,7440,6360,6660,10680,10200,9000,7800,7200,6600,6000,6060,5400,6600,7200,6000,7740,7740,7740,7740,7740,221460
   Spain,12000,15000,19980,15000,16020,17040,18180,19380,20640,22020,23460,25020,26640,28440,30300,24060,27720,37080,33300,34200,34200,34200,34200,50220,38400,38220,44040,43380,42900,40200,865440
   Sweden,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,156600
Japan,90000,70020,79980,75000,88020,49980,58980,55020,52980,69000,84000,82980,103020,103980,106980,120000,139020,121980,111000,100980,105300,132240,121620,172860,176040,191100,193740,181260,156180,176040,3369300
Norway,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,223200
Switzerland,19260,21060,18120,19620,17160,11580,8400,7080,9900,8340,10260,13680,10920,13680,13800,12240,9240,8700,5460,9660,9240,12180,12540,12360,12360,13020,13140,22080,20280,22740,398100
United Kingdom,11340,10080,10200,12240,12780,11220,7920,6600,7680,6840,7920,12480,8460,8880,10800,2880,5160,3240,3240,4320,2820,2460,2460,2340,2400,2580,1560,1200,1860,2160,186120
United States of America,358920,369000,565320,468840,245220,119400,79620,85680,84480,157620,335580,323880,343200,329400,304500,280020,299220,327960,313800,274200,238440,257700,284160,305220,331500,350160,375360,397920,367980,410100,8984400
Unspecified EU stocks,145980,165480,149100,115200,127320,82860,73320,93060,96180,115560,235020,358080,359280,384960,419460,460260,336900,425280,470760,588420,399960,409680,366720,320160,450060,447840,417240,422100,485520,536100,9457860
