Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_import
   Austria,112800,123480,132360,110160,85020,73860,72600,77640,77580,90000,75420,85920,86820,80160,92280,94620,96060,118080,114060,78540,82140,87120,93540,93300,91500,90780,89700,87600,85740,86880,2765760
   Belgium,0,0,0,0,0,0,0,0,0,180180,209460,192540,227520,229080,238080,243780,276300,240840,407520,354960,355440,349680,340080,330120,312720,332040,363120,340620,344520,371940,6240540
   Belgium/Luxembourg,120900,104760,109680,123780,135720,144060,151560,152640,214800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257900
   Bulgaria,16080,12000,10920,23820,27780,30900,16320,17640,20520,22020,16860,21300,20580,24000,22020,26460,26100,23580,31020,31380,31680,28920,33600,36540,37260,40920,46740,42420,44220,47100,830700
   Croatia,0,0,10080,9780,11580,19200,19320,23100,20340,21120,20640,21120,22260,23580,23280,23520,24240,24840,24300,23640,23640,23460,23040,24780,25200,26220,28740,26340,26760,27960,622080
   Cyprus,3000,3240,2460,4620,3120,2640,3120,2460,3000,3300,4140,3540,3420,3540,3540,4800,4440,4260,4680,4320,4620,4920,5040,5640,5640,5340,5580,6000,7980,7980,130380
   Czechia,39540,31500,28500,30840,33240,33180,31500,33600,45900,43680,48540,53940,53280,58440,55740,63780,56400,62220,62220,55800,57060,57120,67620,71040,109380,124080,106740,90420,114180,96540,1816020
   Denmark,57540,58980,63720,59640,61980,52620,60360,56940,60840,65640,61320,66180,64560,60120,67140,59580,60240,59700,54000,51600,60900,54540,54780,55260,51180,50460,54360,51120,52080,54480,1741860
   Estonia,0,0,960,3060,4980,6420,7020,8460,8100,7860,6300,9660,7200,8040,10560,13260,15240,16620,20040,21420,15780,10020,9420,9360,7860,7560,8100,7980,8820,8880,268980
   Finland,65700,61980,63300,78060,81660,46140,59520,71160,70080,72540,63780,65040,64500,66300,69120,69360,70080,72420,77100,74580,76440,77220,74280,76500,72780,79260,83340,81600,77100,90900,2151840
   France,378060,393180,396720,380040,382140,372840,399600,402240,394560,400560,391200,405180,415500,399120,356400,342840,371460,385200,375120,400200,403020,419520,410460,402780,426720,408540,404280,418020,457440,479580,11972520
   Germany,820260,793740,827340,846420,814980,771120,810420,834300,824400,859200,833700,885180,930960,943620,1041360,1002960,1112580,1173840,1192560,1164960,1236180,1255560,1308960,1270440,1324680,1278960,1342080,1305900,1328820,1345920,31481400
   Greece,38520,24420,20940,22500,30120,31380,45960,47340,42240,43980,47880,52080,53820,59880,56520,55860,53820,64860,63360,62760,63660,69300,74640,76140,74040,72600,95040,52020,69600,74760,1640040
   Hungary,34440,38460,31320,40080,46260,31200,36180,40500,42960,45720,47400,49980,49680,51840,58620,51120,54060,53640,48660,42240,43620,38400,44880,33420,49980,42840,43500,43320,46740,46380,1327440
   Ireland,7740,7080,5700,6660,7860,6900,5880,6360,6120,8520,9300,10800,10620,13620,15840,15060,15120,15960,7620,8520,9900,12600,15120,13980,17520,21420,24180,25620,26400,26280,384300
   Italy,314520,277800,275700,335640,333240,323280,336480,344580,353340,356580,378900,392520,391380,415740,421920,436140,452880,481680,490320,484680,494160,501300,521460,529380,561000,559680,613440,601200,638340,654840,13272120
   Latvia,0,0,1200,3600,1380,1800,3960,8640,9540,10980,10860,9360,9840,11160,11280,11460,13260,9060,9240,7920,8280,8460,9420,9660,12780,12120,13860,13740,14580,14100,261540
   Lithuania,0,0,120,540,2820,6780,9000,11220,11100,12360,12780,16020,15780,13260,15360,17040,19020,20160,23400,24660,22560,17340,20220,21720,23760,25680,29940,25920,26460,28440,473460
   Luxembourg,0,0,0,0,0,0,0,0,0,8700,13920,12600,15180,17340,18960,19860,20160,21600,21060,19800,20940,19560,19380,22680,24780,22560,23640,22800,25980,24120,415620
   Malta,1260,960,1080,1380,780,1380,540,540,600,540,540,540,600,660,960,960,1740,960,1380,840,720,1020,1260,1320,1500,960,1140,1020,1140,1380,29700
   Netherlands,187680,187260,192300,168240,168000,174600,185040,175440,171720,153960,177960,167640,165600,190560,189540,179280,197580,211860,138240,150120,154980,160680,163800,204420,240960,250560,286860,304080,331200,321240,5951400
   Poland,26100,15000,107220,100200,110580,106260,115440,135180,137580,144240,154560,163140,158580,159840,161220,167520,159240,135840,147600,189720,196740,204240,212580,197040,193740,219960,229620,239940,259500,267120,4815540
   Portugal,33120,33420,35460,39960,39840,37980,44580,43620,45720,49020,48660,50580,50280,50040,50280,49860,51720,54660,53100,53220,60600,63480,64560,63780,63600,62640,67680,65640,68400,73200,1568700
   Romania,26520,20100,36180,25500,20820,33060,41820,37860,35700,30660,33120,37980,44280,45300,49680,52440,51240,50400,49560,48660,50340,50640,54180,58260,57480,60720,68040,69300,70440,69900,1380180
   Slovakia,0,0,0,17280,15420,15000,15660,15180,15540,16140,17160,19020,18000,18180,17880,18480,20820,30480,36660,27480,39300,46620,46320,47880,55140,54600,54360,43380,53400,46380,821760
   Slovenia,0,0,7380,9120,9540,8880,10500,10260,10440,10920,11220,11640,12060,10620,11760,11460,11220,12300,12300,12600,13080,13380,13260,15480,16140,16320,19380,24060,33000,37200,395520
   Spain,183180,178200,204840,168780,181680,188760,210900,226620,223080,239160,226080,243480,241560,248160,250380,261360,272280,292500,291840,288660,302040,289260,305640,308220,324360,325740,339600,324840,340380,359040,7840620
   Sweden,106020,103020,106320,105420,113580,85200,91320,88380,86400,87360,80640,85920,87780,86100,89700,101580,109200,106200,108240,99540,103620,98820,100800,102540,131880,127260,141000,138360,135720,140880,3148800
Japan,319800,330600,319560,341460,373020,329340,359640,355260,361620,392820,414480,419760,438420,415380,435240,444480,457920,425160,423600,425400,444420,452640,421500,502860,459420,483780,481560,458820,452400,482400,12422760
Norway,44520,45660,44340,41580,48360,39720,43200,41040,42420,47400,39720,42960,41880,41460,42960,45180,43860,46800,43320,43440,45540,47700,44100,46860,44580,48000,47940,48060,44580,47160,1334340
Russian Federation,0,0,82920,107700,103560,103680,67680,131100,103920,82080,113400,183420,210240,226320,192300,200160,207900,259080,243180,213180,249300,253080,250500,264600,284820,282600,313980,328080,317280,355020,5731080
