Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_import_consumption
   Austria,80400,78120,72720,80100,65160,60720,64560,65220,66300,67380,52500,60780,55560,43200,59760,46320,36720,50820,54480,53160,54180,67020,76140,74940,68100,68160,71580,69720,70320,70380,1904520
   Belgium,0,0,0,0,0,0,0,0,0,50040,67980,53040,89040,94740,83760,69480,92220,66180,39000,56040,52260,56040,54900,74700,75540,64440,90120,78000,81900,71100,1460520
   Belgium/Luxembourg,67440,42480,41760,47340,57480,64380,62340,53160,78540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514920
   Bulgaria,6120,1020,10500,19620,21180,23580,14760,16500,19440,21780,16500,21000,20460,23820,21840,25800,25200,21840,26700,24540,23700,21600,22560,25140,22560,24360,27120,24900,25560,25380,625080
   Croatia,0,0,8100,7920,9840,17280,18240,21660,19200,20220,19620,20220,21300,22500,22200,22440,23160,23160,22620,21960,22200,22020,21600,23220,22080,22500,22800,21660,21600,22860,564180
   Cyprus,1860,2700,2340,4680,2700,2580,3120,2760,2760,3240,4020,3180,3060,3180,3600,4200,3300,4140,4620,4500,4440,4860,5100,5340,4860,5580,5580,5820,7800,6900,122820
   Czechia,39540,31500,28320,26880,30540,30660,28500,29100,31380,33480,33600,37980,38520,37380,36300,39360,37860,40740,37260,31500,28200,34320,41100,38220,59880,42480,48360,48240,69480,50580,1141260
   Denmark,51900,54540,57540,53460,54480,45480,53700,48480,51240,52140,47460,52080,48300,43440,50940,47700,49320,47640,41280,40560,48360,45720,48000,49320,44880,43860,45180,43980,44340,46680,1452000
   Estonia,0,0,780,2640,3780,4980,5040,5940,5400,5700,5820,6420,6660,6840,7740,8700,10020,6060,9240,7380,6300,4020,6240,7200,7020,7140,7260,6540,7560,7380,175800
   Finland,64200,57960,61800,67740,63000,44100,54060,56340,60060,58740,58020,56820,58200,57960,62040,66120,62820,63420,66900,63480,64800,65580,64920,65700,61800,66600,68820,63720,66360,80880,1872960
   France,312300,333420,336840,330420,306660,318780,330720,329220,321060,334680,324120,315180,331560,323640,295740,287220,316680,337680,309120,340620,342780,357720,347400,342420,357240,335460,322500,333000,359160,371520,9904860
   Germany,436740,742620,574200,679500,492840,673860,635640,580200,598560,584880,526200,543540,509880,569940,626700,519900,549060,517620,572100,533820,557520,567600,529800,562680,520920,505260,514980,513300,507660,520200,16767720
   Greece,37860,23220,19200,8880,21360,22980,42900,44340,40080,38460,41220,32880,49620,55740,52260,52200,51420,60900,58680,58440,59640,61380,64560,66060,65280,62940,83160,45360,63540,68340,1452900
   Hungary,34440,22800,20880,33420,43440,26820,34260,36120,39120,39420,37980,38820,38220,38760,42480,34200,35880,31320,29640,26700,22560,10800,15120,10620,24000,24240,22260,24480,26880,25080,890760
   Ireland,7200,6780,5460,6420,7620,6420,5220,5820,5520,8100,4980,8760,8160,9060,13500,13380,12180,14640,6900,8040,9600,10740,12840,11760,15420,17580,19080,17460,22200,22200,323040
   Italy,289920,255240,247920,293280,286440,278640,286560,294780,296160,295140,308940,314580,310920,330420,328140,333120,335580,349260,353520,348360,346860,341340,342600,338040,351660,339600,359880,336600,357300,328140,9578940
   Latvia,0,0,1140,2460,360,840,3000,7200,8040,9960,9720,9000,8700,9540,9300,8640,10860,7860,6900,5280,5940,6060,6060,5700,6600,6360,6660,7080,5880,6840,181980
   Lithuania,0,0,120,540,2220,4080,3960,6480,8100,9480,10380,12240,12480,10380,11820,11580,12780,13800,12240,12600,13380,10800,11580,11820,13380,12720,14520,14400,15720,15060,288660
