Country,Coffee type,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,Total_production
Angola,Robusta/Arabica,3000,4740,4680,1980,4620,3720,4260,3840,5100,3300,3000,1260,3420,2280,900,1500,2100,2160,2280,780,2100,1740,1980,2100,2340,2460,2700,2100,2520,3120,82080
Bolivia (Plurinational State of),Arabica,7380,6240,7200,3060,7020,8520,7500,8460,8280,9480,8880,5640,7620,6180,9300,6600,8760,6960,7200,7680,7020,7920,6300,7200,6000,5040,4680,5040,4980,4860,207000
Brazil,Arabica/Robusta,1637160,1637580,2076180,1690020,1691520,1083600,1751820,1568880,2205660,2854680,1878600,1881900,2901120,1732380,2356860,1975980,2905920,2334660,3089460,2638620,3325680,2915520,3325080,3281340,3198300,3172260,3407280,3164400,3907860,3492660,75082980
Burundi,Arabica/Robusta,29220,40020,37200,23580,39840,26040,24060,15000,29520,21060,29220,8640,27240,20280,26220,6180,29880,7980,24720,6720,21180,12240,24360,9780,14880,16140,11760,12120,12240,16320,623640
Ecuador,Arabica/Robusta,90240,127440,71100,124140,142560,113280,119580,71460,72360,71880,51240,47580,34920,38460,46800,56100,62100,57000,46260,48780,51240,49500,49680,39960,38640,38640,38700,37440,29760,33540,1900380
Indonesia,Robusta/Arabica,446460,509580,334140,404580,322080,274380,493260,457260,437760,393420,419220,409980,403860,384240,452160,549540,448980,466620,576720,682800,547740,413340,784200,774060,656760,755100,692460,651120,577080,685980,15404880
Madagascar,Robusta,58920,55980,67320,26520,38460,47100,50940,37440,59520,25620,21720,8820,26700,26100,31320,35940,35220,36840,43680,27420,31800,35100,30000,35040,30060,24840,27180,24240,22740,22980,1045560
Malawi,Arabica,6300,7440,8220,3720,5040,5460,2940,3660,3840,3540,3780,3600,2520,2880,1260,1440,1020,1140,1260,1020,1020,1560,1380,1680,1500,1260,1200,840,780,960,82260
Papua New Guinea,Arabica/Robusta,57780,44820,54000,61140,68340,60120,65340,64440,81120,83220,62460,63780,65100,69300,59880,76080,48420,58080,61680,62280,52020,84840,42960,50100,47880,42720,70260,44040,55800,45120,1803120
Paraguay,Arabica,7860,4800,3240,4020,1500,1560,1860,2940,1920,1140,1320,1320,2160,2820,2280,2640,2100,2340,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,62220
